episode_length,episode_return,episode_return_imitation,episodes,steps,steps_per_second
8,0.0,16.421717703342438,5307,42635,13.374891131605496
8,0.0,15.430997371673584,5308,42643,13.505718946685015
8,0.0,18.01671004295349,5309,42651,13.085889424605009
8,0.0,16.558878242969513,5310,42659,12.839255765901068
8,0.0,14.852647840976715,5311,42667,13.132737017528616
8,0.0,15.80562573671341,5312,42675,12.764265082762758
8,0.0,15.294267117977142,5313,42683,12.189772043226379
8,0.0,17.742342174053192,5314,42691,12.976999131758122
8,0.0,15.058917224407196,5315,42699,13.579034312176175
8,0.0,15.210397362709045,5316,42707,13.387030777725647
8,0.0,15.102327167987823,5317,42715,12.316811897753498
8,0.0,15.152192533016205,5318,42723,12.93096508907892
8,0.0,15.15736335515976,5319,42731,12.767655182621844
8,0.0,15.83695238828659,5320,42739,12.418547862089794
8,0.0,15.65055924654007,5321,42747,12.463786246997758
8,0.0,15.073282599449158,5322,42755,13.424581222391724
8,0.0,14.717558979988098,5323,42763,13.526205930750136
8,0.0,18.955975890159607,5324,42771,13.421166163289419
8,0.0,15.144068658351898,5325,42779,13.458131287486273
8,0.0,16.603847801685333,5326,42787,13.179890183398204
8,0.0,14.711928486824036,5327,42795,13.337029315727865
8,0.0,16.99899184703827,5328,42803,13.071279511187031
8,0.0,16.65224653482437,5329,42811,13.189318966801503
8,0.0,15.41751778125763,5330,42819,13.453873742750202
8,0.0,16.64059418439865,5331,42827,13.501914765280802
8,0.0,17.319577276706696,5332,42835,13.27909687157307
8,0.0,16.879054129123688,5333,42843,13.639403116120825
8,0.0,17.202950716018677,5334,42851,13.507023730980457
8,0.0,15.57242751121521,5335,42859,13.587370233457284
8,0.0,16.97492879629135,5336,42867,13.619716308947723
8,0.0,15.456790149211884,5337,42875,13.623426762945114
8,0.0,17.25822252035141,5338,42883,12.975809788539639
8,0.0,15.512721002101898,5339,42891,13.523278528635942
8,0.0,15.10101056098938,5340,42899,13.370851250099122
8,0.0,14.549203753471375,5341,42907,13.406826869405986
8,0.0,16.23290240764618,5342,42915,13.575880768127476
8,0.0,16.720808744430542,5343,42923,13.54278025009061
8,0.0,15.237651228904724,5344,42931,13.463050512872467
8,0.0,15.801419258117676,5345,42939,13.617129587920138
8,0.0,16.952228367328644,5346,42947,13.2854955013454
8,0.0,15.445216715335846,5347,42955,12.710397284766206
8,0.0,15.512117862701416,5348,42963,12.487623626961517
8,0.0,16.776534914970398,5349,42971,12.512168200991594
8,0.0,16.150122940540314,5350,42979,12.39432307861654
8,0.0,16.604434370994568,5351,42987,13.316799135772532
8,0.0,15.546157777309418,5352,42995,12.899264858240235
8,0.0,15.083639204502106,5353,43003,12.877240650938168
8,0.0,16.356988787651062,5354,43011,12.783746251580613
8,0.0,17.1385680437088,5355,43019,12.90660811828046
8,0.0,14.745167136192322,5356,43027,9.221688415159168
8,0.0,15.402177155017853,5357,43035,12.78514421490532
8,0.0,16.505148887634277,5358,43043,13.192414754051955
8,0.0,16.916519463062286,5359,43051,12.75106669200076
8,0.0,17.442926108837128,5360,43059,12.876790951900889
8,0.0,16.67485737800598,5361,43067,12.76485749186752
8,0.0,15.502408564090729,5362,43075,13.053334598944044
8,0.0,17.81693696975708,5363,43083,12.862007925476904
8,0.0,14.968186795711517,5364,43091,12.936124802658592
8,0.0,15.76157134771347,5365,43099,13.139988377247601
8,0.0,15.289393067359924,5366,43107,12.74128618730824
8,0.0,17.30946010351181,5367,43115,12.933417309140694
8,0.0,14.942168116569519,5368,43123,13.052293691109547
8,0.0,14.508871495723724,5369,43131,12.820393769079995
8,0.0,16.37822514772415,5370,43139,12.89212312714296
8,0.0,17.599036633968353,5371,43147,12.863378676983611
8,0.0,16.47676420211792,5372,43155,12.770458960290831
8,0.0,16.264843463897705,5373,43163,13.038559116712525
